Rivet ID,Analysis Name,Experiment Name,Inspire HEP Link,Inspire HEP ID
A2_2017_I1486671,Form factors for the decays $\omega\to\pi^0e^+e^-$ and $\eta\to\gamma e^+e^-$,A2 (MAMI),https://inspirehep.net/literature/1486671,1486671
A2_2017_I1498079,Form factor for the decay $\pi^0\to\gamma e^+e^-$,A2 (MAMI),https://inspirehep.net/literature/1498079,1498079
ALEPH_1991_S2435284,Hadronic Z decay charged multiplicity measurement,ALEPH (LEP 1),https://inspirehep.net/literature/319520,319520
ALEPH_1995_I382179,"Inclusive pi+-, K+- and (p, anti-p) differential cross-sections at the Z resonance",ALEPH (LEP),https://inspirehep.net/literature/382179,382179
ALEPH_1995_I398426,Production of $B^*$ mesons at LEP1,ALEPH (LEP),https://inspirehep.net/literature/398426,398426
ALEPH_1996_I402895,Bottom baryon polarization at LEP1,ALEPH (LEP),https://inspirehep.net/literature/402895,402895
ALEPH_1996_I415745,Polarization of $\Lambda^0$ baryons at LEP 1,ALEPH (LEP),https://inspirehep.net/literature/415745,415745
ALEPH_1996_I421984,Tau decays to $\omega\pi^-$ and $\omega\pi^-\pi^0$,ALEPH (LEP),https://inspirehep.net/literature/421984,421984
ALEPH_1996_S3196992,Measurement of the quark to photon fragmentation function,ALEPH (LEP Run 1),https://inspirehep.net/literature/398193,398193
ALEPH_1996_S3486095,Studies of QCD with the ALEPH detector.,ALEPH (LEP 1),https://inspirehep.net/literature/428072,428072
ALEPH_1997_I427131,$\pi^0$ spectrum at LEP1,ALEPH (LEP),https://inspirehep.net/literature/427131,427131
ALEPH_1999_S4193598,Scaled energy distribution of $D^*$ at LEP,ALEPH (LEP),https://inspirehep.net/literature/507422,507422
ALEPH_2000_I507531,"Measurement of $\pi^0$, $\eta$, $\eta^\prime$, $K^0_S$ and $\Lambda^0$ spectra in two and three jet events",ALEPH (LEP),https://inspirehep.net/literature/507531,507531
ALEPH_2001_I555653,$\tau$ polarization at LEP1,ALEPH (LEP),https://inspirehep.net/literature/555653,555653
ALEPH_2001_S4656318,Study of the fragmentation of b quarks into B mesons at the Z peak,ALEPH (LEP 1),https://inspirehep.net/literature/558327,558327
ALEPH_2002_S4823664,$\eta$ and $\omega$ Production in Hadronic $Z^0$ Decays,OPAL (LEP 1),https://inspirehep.net/literature/569165,569165
ALEPH_2003_I626022,$\gamma\gamma\to\pi^+\pi^-$ ($2<\sqrt{s}<6$ GeV) and $K^+K^-$ ($2.25<\sqrt{s}<4$ GeV),ALEPH (LEP),https://inspirehep.net/literature/626022,626022
ALEPH_2004_S5765862,Jet rates and event shapes at LEP I and II,ALEPH (LEP Run 1 and 2),https://inspirehep.net/literature/636645,636645
ALEPH_2014_I1267648,Normalised spectral functions of hadronic tau decays,ALEPH (LEP),https://inspirehep.net/literature/1267648,1267648
ALEPH_2016_I1492968,Dimuon invariant mass in OS and SS channel.,ALEPH (LEP),https://inspirehep.net/literature/1492968,1492968
ALICE_2010_I880049,Centrality dependence of the charged-particle multiplicity density at mid-rapidity in Pb--Pb collisions at $\sqrt{s_{\rm{NN}}} = 2.76$ TeV,ALICE (LHC),https://inspirehep.net/literature/880049,880049
ALICE_2010_S8624100,Charged particle multiplicities at 0.9 and 2.36 TeV in three different pseudorapidity intervals,ALICE (LHC),https://inspirehep.net/literature/852450,852450
ALICE_2010_S8625980,"Pseudorapidities at three energies, charged multiplicity at 7 TeV",ALICE (LHC),https://inspirehep.net/literature/852264,852264
ALICE_2010_S8706239,Charged particle $\langle p_\perp \rangle$ vs. $N_\text{ch}$ in $pp$ collisions at 900 GeV,ALICE (LHC),https://inspirehep.net/literature/860416,860416
